operation,fixed_totalsize,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,io_format,filesystem,root,machine,spil,version,worker_memory,runtime,dask,distributed,fsspec,gcsfs,netCDF4,numpy,pandas,s3fs,xarray,zarr
writefile,False,32MB,2,300.05 MiB,1,1,4,temporal,zarr,s3,pangeo-benchmarking,EOSC-CESNET-small,False,0.0.0,4,43.10253405570984,2022.7.0,2022.7.0,2022.5.0,2022.5.0,1.6.0,1.23.1,1.4.3,2022.5.0,2022.6.0,2.12.0
openfile,False,32MB,2,300.05 MiB,1,1,4,temporal,zarr,s3,pangeo-benchmarking,EOSC-CESNET-small,False,0.0.0,4,2.622267484664917,2022.7.0,2022.7.0,2022.5.0,2022.5.0,1.6.0,1.23.1,1.4.3,2022.5.0,2022.6.0,2.12.0
readfile,False,32MB,2,300.05 MiB,1,1,4,temporal,zarr,s3,pangeo-benchmarking,EOSC-CESNET-small,False,0.0.0,4,3.698916435241699,2022.7.0,2022.7.0,2022.5.0,2022.5.0,1.6.0,1.23.1,1.4.3,2022.5.0,2022.6.0,2.12.0
deletefile,False,32MB,2,300.05 MiB,1,1,4,temporal,zarr,s3,pangeo-benchmarking,EOSC-CESNET-small,False,0.0.0,4,1.4919712543487549,2022.7.0,2022.7.0,2022.5.0,2022.5.0,1.6.0,1.23.1,1.4.3,2022.5.0,2022.6.0,2.12.0
writefile,False,64MB,2,525.05 MiB,1,1,4,temporal,zarr,s3,pangeo-benchmarking,EOSC-CESNET-small,False,0.0.0,4,40.31912088394165,2022.7.0,2022.7.0,2022.5.0,2022.5.0,1.6.0,1.23.1,1.4.3,2022.5.0,2022.6.0,2.12.0
openfile,False,64MB,2,525.05 MiB,1,1,4,temporal,zarr,s3,pangeo-benchmarking,EOSC-CESNET-small,False,0.0.0,4,2.6523828506469727,2022.7.0,2022.7.0,2022.5.0,2022.5.0,1.6.0,1.23.1,1.4.3,2022.5.0,2022.6.0,2.12.0
readfile,False,64MB,2,525.05 MiB,1,1,4,temporal,zarr,s3,pangeo-benchmarking,EOSC-CESNET-small,False,0.0.0,4,3.6914968490600586,2022.7.0,2022.7.0,2022.5.0,2022.5.0,1.6.0,1.23.1,1.4.3,2022.5.0,2022.6.0,2.12.0
deletefile,False,64MB,2,525.05 MiB,1,1,4,temporal,zarr,s3,pangeo-benchmarking,EOSC-CESNET-small,False,0.0.0,4,1.2323241233825684,2022.7.0,2022.7.0,2022.5.0,2022.5.0,1.6.0,1.23.1,1.4.3,2022.5.0,2022.6.0,2.12.0
